threshold,precision,recall,f1
0.1,0.6899563318777293,1.0,0.8165374677002584
0.15000000000000002,0.782608695652174,0.9968354430379747,0.8768267223382046
0.20000000000000004,0.8523035230352304,0.995253164556962,0.9182481751824818
0.25000000000000006,0.8877840909090909,0.9889240506329114,0.9356287425149701
0.30000000000000004,0.9367469879518072,0.9841772151898734,0.9598765432098766
0.3500000000000001,0.9609984399375975,0.9746835443037974,0.9677926158680282
0.40000000000000013,0.9789644012944984,0.9572784810126582,0.968
0.45000000000000007,0.9899665551839465,0.9367088607594937,0.9626016260162602
0.5000000000000001,0.9930434782608696,0.9034810126582279,0.9461474730737366
0.5500000000000002,1.0,0.879746835443038,0.936026936026936
0.6000000000000002,1.0,0.8386075949367089,0.9122203098106713
0.6500000000000001,1.0,0.7895569620253164,0.8824049513704686
0.7000000000000002,1.0,0.7310126582278481,0.8446069469835467
0.7500000000000002,1.0,0.6708860759493671,0.803030303030303
0.8000000000000002,1.0,0.5917721518987342,0.7435387673956262
0.8500000000000002,1.0,0.5063291139240507,0.6722689075630253
0.9000000000000002,1.0,0.3971518987341772,0.5685164212910532
